Placement,Origin,Destination,Advertiser Origin,Advertiser Destination,Average CPC (USD),Average Rank,First Rank Bid (USD),Third Rank Bid (USD),6th Rank Bid (USD),9th Rank Bid (USD),Est. Clicks,Est. Impressions,Est. Spend (USD)
FlyDealFarePanelDOW_US_FPCMP2,SNA,ATQ,SNA,ATQ,1.2,1,1.2,1.21,1.21,1.21,0,1,0
FlyDealFarePanelM_US_FPCMP2,DTW,DEL,DTW,DEL,1,2.34,1.22,1.01,1.01,1.01,1,3,1
FlyDealFarePanelMOW_US_FPCMP2,DCA,BLR,DCA,BLR,0.75,4,1.51,1.01,0.76,0.76,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,DFW,AMD,DFW,AMD,0.9,2,1.22,0.91,0.91,0.91,1,2,0.9
FlyDealFarePanelD_US_FPCMP2,IND,AMD,IND,AMD,0.95,2,1.02,0.96,0.96,0.96,1,1,0.47
FlyDealFarePanelMOW_US_FPCMP2,SLC,BOM,SLC,BOM,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelDOW_US_FPCMP2,MAA,AUS,MAA,AUS,0.3,4,1.02,0.65,0.31,0.31,1,3,0.15
FlyDealFarePanelM_US_FPCMP2,EWR,MAA,EWR,MAA,1,2,1.22,1.01,1.01,1.01,1,9,1
FlyDealFarePanelM_US_FPCMP2,HOU,TRV,HOU,TRV,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelMOW_US_FPCMP2,DEL,DTW,DEL,DTW,0.25,3,1.22,0.26,0.26,0.26,0,3,0
FlyDealFarePanelM_US_FPCMP2,BNA,HYD,BNA,HYD,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelM_US_FPCMP2,DEN,ATQ,DEN,ATQ,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelDOW_US_FPCMP2,HNL,GOI,HNL,GOI,1.2,1,1.2,1.21,1.21,1.21,1,1,1.2
FlyDealFarePanelM_US_FPCMP2,HYD,TPA,HYD,TPA,0.45,2,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelM_US_FPCMP2,BNA,BOM,BNA,BOM,1,3.18,1.51,1.01,1.01,1.01,0,7,0
